id;category;label;plan_copy;dxf_x_mm;dxf_y_mm;dxf_layer;text_height_mm;source_entity;raw_text
elevator_main_008;elevator;HISS 1;main;22049.9;31088.49;A-U-----T1-200;500.0;MTEXT;HISS 1
storage_main_018;storage;FÖRRÅD;main;21198.96;29382.48;A-U-----T1-200;500.0;MTEXT;FÖRRÅD
restroom_women_main_006;restroom_women;DAMTOALETT;main;32908.27;25636.13;A-U-----T1-200;500.0;MTEXT;DAMTOALETT
technical_main_002;technical;ELC;main;39888.22;20205.91;A-U-----T1-200;500.0;MTEXT;ELC
storage_main_019;storage;FÖRRÅD;main;-18404.29;-31268.67;A-U-----T1-200;500.0;MTEXT;FÖRRÅD
restroom_women_main_007;restroom_women;DAMTOALETT;main;-26604.18;-30342.07;A-U-----T1-200;500.0;MTEXT;DAMTOALETT
kiosk_main_005;kiosk;KIOSK 4:1;main;-23544.77;-33672.87;A-U-----T1-200;500.0;MTEXT;KIOSK 4:1
storage_main_020;storage;FÖRRÅD;main;-35058.94;-23420.69;A-U-----T1-200;500.0;MTEXT;FÖRRÅD
technical_main_003;technical;ELC;main;-36679.54;-19966.7;A-U-----T1-200;500.0;MTEXT;ELC
restroom_accessible_main_003;restroom_accessible;HWC;main;-38619.69;-18896.06;A-U-----T1-200;500.0;MTEXT;HWC
storage_main_021;storage;FÖRRÅD;main;-34959.29;23675.03;A-U-----T1-200;500.0;MTEXT;FÖRRÅD
stair_main_012;stair;TRAPPHALL PRESS;main;-10645.89;33049.7;A-U-----T1-200;500.0;MTEXT;TRAPPHALL PRESS
storage_main_022;storage;FÖRRÅD;main;323.21;30152.4;A-U-----T1-200;500.0;MTEXT;FÖRRÅD
technical_main_004;technical;ELC;main;-37106.33;20257.08;A-U-----T1-200;500.0;MTEXT;ELC
restroom_accessible_main_004;restroom_accessible;HWC;main;-38958.57;18446.46;A-U-----T1-200;500.0;MTEXT;HWC
kiosk_main_006;kiosk;KIOSK 3:2;main;-46235.78;5462.58;A-U-----T1-200;500.0;MTEXT;KIOSK 3:2
kiosk_main_007;kiosk;KIOSK 4:2;main;-46474.46;-5246.41;A-U-----T1-200;500.0;MTEXT;KIOSK 4:2
technical_main_005;technical;VVS;main;71684.81;-8387.31;A-------T--;175.0;MTEXT;VVS
technical_main_006;technical;ELC.;main;74946.48;-22748.62;A-------T--;175.0;MTEXT;ELC.
entrance_hall_main_002;entrance_hall;ENTRÈHALL;main;69102.02;-54183.04;A-------T--;175.0;MTEXT;ENTRÈHALL
elevator_main_009;elevator;HISSM.;main;74085.46;26322.56;A-------T--;175.0;MTEXT;HISSM.
stair_main_013;stair;TRAPPA;main;71539.16;27046.65;A-------T--;175.0;MTEXT;TRAPPA
technical_main_007;technical;VVS;main;71684.81;-8387.31;A-------T--;175.0;MTEXT;VVS
office_main_002;office;KONTOR;main;72676.39;23723.43;A-------T--;175.0;MTEXT;KONTOR
hall_main_011;hall;HALL E;main;78503.57;-42434.15;A-------T--;175.0;MTEXT;HALL E
hall_main_012;hall;HALL D;main;73726.71;-1720.8;A-------T--;175.0;MTEXT;HALL D
technical_main_008;technical;VVS;main;71684.81;-8387.31;A-------T--;175.0;MTEXT;VVS
technical_main_009;technical;ELC.;main;74946.48;-22748.62;A-------T--;175.0;MTEXT;ELC.
entrance_hall_main_003;entrance_hall;ENTRÈHALL;main;69102.02;-54183.04;A-------T--;175.0;MTEXT;ENTRÈHALL
technical_main_010;technical;MHD;main;73053.49;17689.47;A-------T--;175.0;MTEXT;MHD
elevator_main_010;elevator;hiss 12;main;73047.19;17362.1;A-------T--;175.0;MTEXT;hiss 12
elevator_main_011;elevator;HISSM.;main;74085.46;26322.56;A-------T--;175.0;MTEXT;HISSM.
stair_main_014;stair;TRAPPA;main;71539.16;27046.65;A-------T--;175.0;MTEXT;TRAPPA
technical_main_011;technical;VVS;main;71684.81;-8387.31;A-------T--;175.0;MTEXT;VVS
office_main_003;office;KONTOR;main;72676.39;23723.43;A-------T--;175.0;MTEXT;KONTOR
hall_main_013;hall;HALL E;main;78503.57;-42434.15;A-------T--;175.0;MTEXT;HALL E
elevator_main_012;elevator;hiss 36;main;73027.52;-51618.94;A-------T--;175.0;MTEXT;hiss 36
elevator_main_013;elevator;hiss 35;main;71594.75;-49834.69;A-------T--;175.0;MTEXT;hiss 35
elevator_main_014;elevator;HISS;main;64495.96;-30051.66;A-------T--;125.0;MTEXT;HISS
hall_main_014;hall;PASSAGE;main;70377.81;-18835.9;A-------T--;175.0;MTEXT;PASSAGE
